,id,X,Y,landscape_id,patch,previous_x,previous_y
1,3,173266.6,9820314,259,S,173300,9820400
2,8,170215.1,9820768.6,259,S,170300,9820800
3,12,171477.9,9821217.8,259,S,171500,9821200
4,16,172300,9821900,259,S,NA,NA
5,74,170785.9,9818460.1,259,M,170900,9818500
6,259,173647.1,9820754.4,259,M,173600,9820900
7,360,173722.2,9821795.9,259,M,173800,9821700
8,74,172897.5,9818673.1,259,L,172900,9818800
9,210,170900,9820100,259,L,NA,NA
10,259,171000,9820600,259,L,NA,NA
11,3,178845.8,9822338.1,301,S,178900,9822300
12,8,179151.6,9823415.8,301,S,179100,9823400
13,16,182000,9824100,301,S,,
14,21,178847,9823455,301,S,178100,9825900
15,259,180980,9823228,301,M,180900,9823200
16,456,180400,9825400,301,M,,
17,472,180600,9825600,301,M,,
18,3,,,301,L,181400,9823600
19,196,181300,9825600,301,L,,
20,216,181000,9825800,301,L,,
21,3,166200,9826000,338,S,,
22,7,169200,9826000,338,S,,
23,15,167600,9826600,338,S,,
24,24,168000,9828400,338,S,,
25,74,166300,9826400,338,M,,
26,211,167900,9828100,338,M,,
27,259,170000,9828500,338,M,,
28,3,168900,9827100,338,L,,
29,71,169000,9827900,338,L,,
30,88,169600,9828000,338,L,,
31,3,208700,9838000,468,S,,
32,7,209000,9838100,468,S,,
33,16,208900,9840300,468,S,,
34,24,206100,9841900,468,S,,
35,101,207800,9838600,468,M,,
36,192,208300,9840200,468,M,,
37,259,206400,9842000,468,M,,
38,259,209900,9840900,468,L,,
39,460,209700,9841900,468,L,,
40,472,209400,9842000,468,L,,
41,3,209800,9850000,588,S,,
42,14,209900,9850500,588,S,,
43,24,209700,9850800,588,S,,
44,43,209000,9853900,588,S,,
45,74,209400,9850800,588,M,,
46,259,208200,9853200,588,M,,
47,362,206600,9854000,588,M,,
48,3,208400,9851800,588,L,,
49,80,209200,9852900,588,L,,
50,107,209500,9853300,588,L,,
51,3,199500,9798100,66,S,,
52,6,200200,9801700,66,S,,
53,8,200400,9801700,66,S,,
54,74,200600,9799300,66,M,,
55,213,2.00E+05,9800700,66,M,,
56,259,200200,9801000,66,M,,
57,361,201000,9801800,66,M,,
58,74,198700,9798500,66,L,,
59,213,198900,9799500,66,L,,
60,259,198500,9799800,66,L,,
61,3,189600,9807100,143,S,,
62,8,186900,9808400,143,S,,
63,12,188700,9808900,143,S,,
64,3,189800,9807400,143,M,,
65,79,188600,9808100,143,M,,
66,91,186600,9808300,143,M,,
67,106,186400,9808700,143,M,,
68,74,187400,9806400,143,L,,
69,213,187800,9807100,143,L,,
70,259,188500,9807300,143,L,,
71,3,186400,9819200,263,S,,
72,8,186100,9819400,263,S,,
73,15,187500,9820400,263,S,,
74,74,186000,9818400,263,M,,
75,211,187100,9819200,263,M,,
76,259,187700,9819700,263,M,,
77,279,187900,9820200,263,M,,
78,3,189300,9819600,263,L,,
79,105,188200,9821200,263,L,,
80,196,187700,9821900,263,L,,
81,3,175200,9826900,340,S,,
82,8,174800,9828500,340,S,,
83,9,176700,9829500,340,S,,
84,3,177700,9826000,340,M,,
85,107,177600,9827700,340,M,,
86,198,174300,9829100,340,M,,
87,216,176000,9829900,340,M,,
88,259,176600,9827700,340,L,,
89,457,176400,9829100,340,L,,
90,472,177100,9829200,340,L,,
91,3,198000,9844200,506,S,,
92,7,198600,9844300,506,S,,
93,24,199000,9845200,506,S,,
94,74,198500,9842700,506,M,,
95,214,200700,9845100,506,M,,
96,259,200100,9845500,506,M,,
97,280,200700,9845600,506,M,,
98,3,200200,9842100,506,L,,
99,198,200300,9843300,506,L,,
100,216,200800,9843500,506,L,,
101,3,178400,9831700,381,S,,
102,8,178100,9831900,381,S,,
103,18,180200,9832600,381,S,,
104,3,181200,9830100,381,M,,
105,107,178700,9832800,381,M,,
106,198,178900,9834000,381,M,,
107,3,181400,9832400,381,L,,
108,106,181800,9833300,381,L,,
109,197,180800,9833900,381,L,,
110,216,181500,9834000,381,L,,
111,3,190800,9830500,384,S,,
112,4,190600,9830600,384,S,,
113,3,190500,9831100,384,M,,
114,79,194000,9832200,384,M,,
115,106,191700,9833700,384,M,,
116,221,191500,9832600,384,L,,
117,320,190800,9832900,384,L,,
118,472,192400,9833300,384,L,,
119,595,193400,9833700,384,L,,
120,662,192400,9834000,384,L,,
121,3,183700,9835600,422,S,,
122,8,186000,9837200,422,S,,
123,11,186000,9837800,422,S,,
124,3,185700,9834000,422,M,,
125,70,182500,9837100,422,M,,
126,88,182900,9837700,422,M,,
127,74,182500,9834900,422,L,,
128,212,182200,9836400,422,L,,
129,259,184200,9837000,422,L,,
130,285,183900,9837300,422,L,,
131,2,187200,9845900,503,S,,
132,3,186200,9842100,503,M,,
133,68,187200,9843300,503,M,,
134,88,187000,9845500,503,M,,
135,120,186800,9845900,503,M,,
136,74,187600,9843500,503,L,,
137,211,188100,9844200,503,L,,
138,259,186200,9844500,503,L,,
139,366,188200,9844900,503,L,,
140,457,186100,9845700,503,L,,
141,3,212300,9846000,549,S,,
142,8,212500,9846100,549,S,,
143,16,210200,9848000,549,S,,
144,3,212000,9847300,549,M,,
145,8,211300,9849900,549,M,,
146,10,211500,9849900,549,M,,
147,320,213500,9848000,549,L,,
148,472,213900,9848800,549,L,,
149,592,210000,9849400,549,L,,
150,656,210900,9849700,549,L,,
