id,number_patches,forest_cover
376,18,20.37315511
387,39,20.79086605
381,19,21.98273461
188,11,22.3487824
586,62,22.52072968
585,60,23.54775828
422,16,24.78397486
186,13,25.15036757
226,13,25.74903261
546,59,26.86567164
228,19,27.31829574
229,20,27.6119403
28,11,27.90309106
545,52,28.21232185
299,59,29.49163955
588,46,29.49596213
583,42,30.18794914
503,14,30.50233905
145,11,30.77095724
106,43,31.24303854
624,47,31.28156211
143,20,31.5382045
427,47,32.42060375
105,26,32.75165526
76,53,33.62136685
112,17,35.6092671
428,48,36.44372124
259,47,36.55033105
468,46,37.23487824
